person_id;household_id;activity_index;preceding_trip_index;following_trip_index;purpose;start_time;end_time;is_first;is_last
14;14;0;-1;0;home;;29489.0;True;False
14;14;1;0;1;education;30989.0;42569.0;False;False
14;14;2;1;2;home;42989.0;46889.0;False;False
14;14;3;2;3;education;47249.0;58589.0;False;False
14;14;4;3;-1;home;59489.0;;False;True
58;58;0;-1;0;home;;25640.0;True;False
58;58;1;0;1;education;29240.0;61640.0;False;False
58;58;2;1;-1;home;65240.0;;False;True
63;63;0;-1;0;home;;28876.0;True;False
63;63;1;0;1;education;29776.0;54076.0;False;False
63;63;2;1;-1;home;55096.0;;False;True
83;83;0;-1;0;home;;30427.0;True;False
83;83;1;0;1;education;30727.0;44227.0;False;False
83;83;2;1;2;home;44827.0;50827.0;False;False
83;83;3;2;3;education;51127.0;61027.0;False;False
83;83;4;3;-1;home;61327.0;;False;True
155;155;0;-1;0;home;;40608.0;True;False
155;155;1;0;1;other;41808.0;44208.0;False;False
155;155;2;1;2;leisure;44268.0;55908.0;False;False
155;155;3;2;-1;home;56808.0;;False;True
213;213;0;-1;0;home;;30981.0;True;False
213;213;1;0;1;education;31281.0;42381.0;False;False
213;213;2;1;2;home;42681.0;47181.0;False;False
213;213;3;2;3;education;47481.0;58581.0;False;False
213;213;4;3;-1;home;58881.0;;False;True
237;237;0;-1;0;home;;47795.0;True;False
237;237;1;0;1;education;48755.0;60695.0;False;False
237;237;2;1;-1;home;62495.0;;False;True
250;250;0;-1;0;home;;28987.0;True;False
250;250;1;0;1;education;29287.0;42787.0;False;False
250;250;2;1;2;home;43087.0;48787.0;False;False
250;250;3;2;3;education;49387.0;58687.0;False;False
250;250;4;3;4;home;59287.0;63487.0;False;False
250;250;5;4;5;leisure;63787.0;67987.0;False;False
250;250;6;5;-1;home;68287.0;;False;True
301;301;0;-1;0;home;;29549.0;True;False
301;301;1;0;1;education;30149.0;62849.0;False;False
301;301;2;1;-1;home;63749.0;;False;True
306;306;0;-1;0;home;;29253.0;True;False
306;306;1;0;1;education;29553.0;43053.0;False;False
306;306;2;1;2;home;43353.0;49053.0;False;False
306;306;3;2;3;education;49653.0;58953.0;False;False
306;306;4;3;4;home;59553.0;63753.0;False;False
306;306;5;4;5;leisure;64053.0;68253.0;False;False
306;306;6;5;-1;home;68553.0;;False;True
311;311;0;-1;0;home;;25648.0;True;False
311;311;1;0;1;education;27508.0;59788.0;False;False
311;311;2;1;-1;home;61588.0;;False;True
438;438;0;-1;0;home;;28804.0;True;False
438;438;1;0;1;education;30004.0;41404.0;False;False
438;438;2;1;2;home;42004.0;46204.0;False;False
438;438;3;2;3;education;46804.0;58804.0;False;False
438;438;4;3;-1;home;59704.0;;False;True
492;492;0;-1;0;home;;30360.0;True;False
492;492;1;0;1;education;30660.0;43260.0;False;False
492;492;2;1;2;home;44460.0;49860.0;False;False
492;492;3;2;3;education;50460.0;58560.0;False;False
492;492;4;3;4;home;59160.0;65460.0;False;False
492;492;5;4;5;leisure;65520.0;69060.0;False;False
492;492;6;5;-1;home;69120.0;;False;True
494;494;0;-1;0;home;;58366.0;True;False
494;494;1;0;1;shop;60166.0;65566.0;False;False
494;494;2;1;2;leisure;67366.0;76366.0;False;False
494;494;3;2;-1;home;77266.0;;False;True
510;510;0;-1;0;home;;26533.0;True;False
510;510;1;0;1;education;27433.0;29233.0;False;False
510;510;2;1;2;leisure;35533.0;58933.0;False;False
510;510;3;2;3;education;66433.0;67933.0;False;False
510;510;4;3;-1;home;68833.0;;False;True
548;548;0;-1;0;home;;54220.0;True;False
548;548;1;0;1;leisure;54940.0;60820.0;False;False
548;548;2;1;-1;home;61540.0;;False;True
579;579;0;-1;0;home;;40811.0;True;False
579;579;1;0;1;education;41111.0;50411.0;False;False
579;579;2;1;2;home;50711.0;64811.0;False;False
579;579;3;2;-1;leisure;67511.0;;False;True
619;619;0;-1;0;home;;57650.0;True;False
619;619;1;0;1;leisure;57770.0;66650.0;False;False
619;619;2;1;-1;home;66770.0;;False;True
655;655;0;-1;0;home;;29062.0;True;False
655;655;1;0;1;education;30502.0;62242.0;False;False
655;655;2;1;-1;home;64582.0;;False;True
674;674;0;-1;0;leisure;;53578.0;True;False
674;674;1;0;1;leisure;53878.0;64378.0;False;False
674;674;2;1;-1;home;64678.0;;False;True
675;675;0;-1;0;home;;31614.0;True;False
675;675;1;0;1;education;31854.0;42714.0;False;False
675;675;2;1;2;home;43494.0;45234.0;False;False
675;675;3;2;3;other;45414.0;47934.0;False;False
675;675;4;3;4;home;48114.0;49554.0;False;False
675;675;5;4;5;education;49794.0;61074.0;False;False
675;675;6;5;-1;home;61254.0;;False;True
684;684;0;-1;0;home;;28615.0;True;False
