household_id;car_availability;bicycle_availability;number_of_cars;number_of_bicycles;income;census_household_id
14;all;all;1;2;0.0;9
26760;all;all;1;2;0.0;3147
58;all;all;1;0;0.0;11
39162;all;all;1;0;0.0;4575
63;all;all;1;2;0.0;11
46537;all;all;1;2;0.0;5576
83;none;all;1;0;0.0;21
20204;all;all;1;0;0.0;2398
58381;all;all;1;0;0.0;7037
155;all;none;1;2;0.0;29
4051;all;all;1;2;0.0;606
14079;all;all;1;2;0.0;1689
30772;none;all;1;2;0.0;3510
35566;all;all;1;2;0.0;4287
40004;all;all;1;2;0.0;4701
47534;all;all;1;2;0.0;5617
50941;all;all;1;2;0.0;6015
213;all;all;1;0;0.0;33
18621;all;all;1;0;0.0;2315
24003;all;all;1;0;0.0;2890
35416;all;all;1;0;0.0;4286
36787;none;all;1;0;0.0;4318
62419;all;all;1;0;0.0;7698
63399;all;all;1;0;0.0;7778
67228;none;all;1;0;0.0;8257
237;all;all;1;2;0.0;34
4836;none;all;1;2;0.0;682
5572;all;all;1;2;0.0;730
29435;all;all;1;2;0.0;3391
51832;all;all;1;2;0.0;6219
58622;all;all;1;2;0.0;7049
59278;none;all;1;2;0.0;7099
250;none;all;1;3;0.0;34
306;all;all;1;3;0.0;35
17968;all;all;1;3;0.0;2241
34703;all;all;1;3;0.0;4253
301;all;all;1;4;0.0;35
12138;all;all;1;4;0.0;1450
29176;all;all;1;4;0.0;3389
311;all;all;1;0;0.0;35
3846;none;all;1;0;0.0;557
14077;all;all;1;0;0.0;1689
18546;all;all;1;0;0.0;2314
38169;all;all;1;0;0.0;4511
42749;all;all;1;0;0.0;5119
47593;all;all;1;0;0.0;5617
49298;none;all;1;0;0.0;5739
52680;all;all;1;0;0.0;6539
63282;none;all;1;0;0.0;7777
65166;all;all;1;0;0.0;7975
343;none;all;1;3;0.0;35
13876;all;all;1;3;0.0;1665
18096;all;all;1;3;0.0;2267
438;all;all;1;1;0.0;45
492;all;all;1;2;0.0;46
7716;all;all;1;2;0.0;909
10612;all;all;1;2;0.0;1318
11422;all;all;1;2;0.0;1366
12888;all;all;1;2;0.0;1511
22669;all;all;1;2;0.0;2614
22705;all;all;1;2;0.0;2614
25864;none;none;1;2;0.0;3046
28624;all;all;1;2;0.0;3372
29602;all;all;1;2;0.0;3404
35977;all;all;1;2;0.0;4300
36182;all;all;1;2;0.0;4301
37774;all;all;1;2;0.0;4495
55370;all;none;1;2;0.0;6755
55740;all;all;1;2;0.0;6757
61481;all;all;1;2;0.0;7555
494;all;all;1;1;0.0;46
15011;all;all;1;1;0.0;1721
36423;all;all;1;1;0.0;4303
58355;all;all;1;1;0.0;7036
60489;all;all;1;1;0.0;7319
510;none;all;1;3;0.0;46
1417;all;all;1;3;0.0;70
10166;all;none;1;3;0.0;1269
11595;all;all;1;3;0.0;1367
27075;all;all;1;3;0.0;3167
46961;all;all;1;3;0.0;5597
50077;all;all;1;3;0.0;5879
51626;all;all;1;3;0.0;6195
548;none;all;1;0;0.0;47
7878;none;all;1;0;0.0;911
50756;all;all;1;0;0.0;5957
579;none;all;1;0;0.0;47
1960;all;all;1;0;0.0;143
619;all;all;1;2;0.0;53
7477;all;all;1;2;0.0;898
17124;all;all;1;2;0.0;2001
25985;all;all;1;2;0.0;3059
29170;all;all;1;2;0.0;3389
30438;all;all;1;2;0.0;3452
30859;none;all;1;2;0.0;3518
32400;all;all;1;2;0.0;3775
37159;none;all;1;2;0.0;4351
40749;none;all;1;2;0.0;4894
44026;all;all;1;2;0.0;5244
46705;all;all;1;2;0.0;5578
47255;all;all;1;2;0.0;5615
50405;none;all;1;2;0.0;5935
60384;all;all;1;2;0.0;7299
61105;all;all;1;2;0.0;7495
63297;all;all;1;2;0.0;7777
63540;all;all;1;2;0.0;7779
655;all;all;1;2;0.0;57
24495;all;all;1;2;0.0;2962
674;all;all;1;2;0.0;57
4964;all;all;1;2;0.0;706
675;all;all;1;2;0.0;57
684;all;all;1;0;0.0;57
14724;all;all;1;0;0.0;1714
20671;all;all;1;0;0.0;2411
24528;all;all;1;0;0.0;2962
30244;all;all;1;0;0.0;3420
32383;all;all;1;0;0.0;3774
34111;all;all;1;0;0.0;4189
52696;all;all;1;0;0.0;6539
54011;none;all;1;0;0.0;6699
57775;all;all;1;0;0.0;7015
61680;none;none;1;0;0.0;7579
705;all;all;1;2;0.0;57
13569;all;all;1;2;0.0;1641
18271;none;all;1;2;0.0;2291
18410;all;none;1;2;0.0;2309
35350;all;all;1;2;0.0;4286
44723;none;all;1;2;0.0;5310
46321;all;all;1;2;0.0;5539
54248;all;all;1;2;0.0;6733
758;all;all;1;2;0.0;57
3799;all;all;1;2;0.0;537
16098;all;all;1;2;0.0;1833
16190;all;all;1;2;0.0;1853
22301;all;all;1;2;0.0;2601
63538;all;all;1;2;0.0;7779
829;all;all;1;2;0.0;58
53814;all;all;1;2;0.0;6658
58997;none;all;1;2;0.0;7096
62357;all;all;1;2;0.0;7697
65228;all;none;1;2;0.0;7976
919;all;all;1;4;0.0;58
47870;all;all;1;4;0.0;5619
920;all;all;1;1;0.0;58
8217;all;all;1;1;0.0;945
12003;all;all;1;1;0.0;1426
22451;all;all;1;1;0.0;2603
23564;all;all;1;1;0.0;2817
29249;all;all;1;1;0.0;3390
30650;all;all;1;1;0.0;3487
38972;all;all;1;1;0.0;4573
58736;all;all;1;1;0.0;7059
60991;all;all;1;1;0.0;7459
948;none;none;1;0;0.0;59
4934;all;all;1;0;0.0;705
9620;all;all;1;0;0.0;1187
11976;all;all;1;0;0.0;1425
15798;all;all;1;0;0.0;1785
26457;none;all;1;0;0.0;3129
37531;all;all;1;0;0.0;4444
57412;all;all;1;0;0.0;6937
958;none;all;1;2;0.0;59
8041;none;all;1;2;0.0;923
23560;all;all;1;2;0.0;2817
24442;all;all;1;2;0.0;2961
37989;all;all;1;2;0.0;4509
60156;all;all;1;2;0.0;7215
993;all;all;1;1;0.0;59
5393;all;all;1;1;0.0;730
1004;all;all;1;0;0.0;59
3980;all;all;1;0;0.0;586
7326;all;all;1;0;0.0;893
7378;all;all;1;0;0.0;897
7506;all;all;1;0;0.0;898
11639;none;none;1;0;0.0;1378
19768;all;all;1;0;0.0;2387
26909;none;all;1;0;0.0;3155
37371;all;all;1;0;0.0;4412
38614;none;all;1;0;0.0;4540
49944;all;all;1;0;0.0;5858
62422;all;none;1;0;0.0;7698
1031;all;all;1;3;0.0;59
3689;all;all;1;3;0.0;489
6615;all;all;1;3;0.0;755
7404;none;all;1;3;0.0;897
8437;all;all;1;3;0.0;947
13112;all;all;1;3;0.0;1547
19220;all;all;1;3;0.0;2385
21606;all;all;1;3;0.0;2554
33162;all;all;1;3;0.0;3966
44683;all;all;1;3;0.0;5309
1045;all;all;1;1;0.0;59
1059;all;all;1;2;0.0;59
32505;all;all;1;2;0.0;3805
35011;all;all;1;2;0.0;4284
44360;all;all;1;2;0.0;5278
56349;all;all;1;2;0.0;6776
58179;none;all;1;2;0.0;7019
65592;all;all;1;2;0.0;8007
1095;all;all;1;1;0.0;64
16490;all;all;1;1;0.0;1894
41430;none;all;1;1;0.0;5005
45400;all;all;1;1;0.0;5382
1098;all;all;1;1;0.0;65
18783;all;all;1;1;0.0;2327
20932;all;all;1;1;0.0;2445
32462;all;all;1;1;0.0;3790
38380;all;none;1;1;0.0;4525
41084;none;all;1;1;0.0;4942
50800;all;all;1;1;0.0;5958
1103;all;all;1;3;0.0;65
28713;all;all;1;3;0.0;3374
37644;all;all;1;3;0.0;4462
1109;all;all;1;0;0.0;66
17762;all;all;1;0;0.0;2158
21806;all;all;1;0;0.0;2565
22691;all;all;1;0;0.0;2614
24694;all;all;1;0;0.0;2973
28051;all;all;1;0;0.0;3311
33044;all;all;1;0;0.0;3917
34604;none;all;1;0;0.0;4237
35868;all;all;1;0;0.0;4300
37465;all;all;1;0;0.0;4429
45682;all;all;1;0;0.0;5422
48463;none;all;1;0;0.0;5637
49787;all;all;1;0;0.0;5835
50805;all;all;1;0;0.0;5959
52231;all;all;1;0;0.0;6436
53467;all;all;1;0;0.0;6629
55848;all;all;1;0;0.0;6757
58229;all;all;1;0;0.0;7035
60037;none;all;1;0;0.0;7158
62550;all;all;1;0;0.0;7715
1180;none;all;1;3;0.0;69
12429;none;none;1;3;0.0;1485
34294;all;all;1;3;0.0;4204
1186;all;all;1;2;0.0;69
1217;all;all;1;0;0.0;69
2514;all;all;1;0;0.0;238
33301;all;all;1;0;0.0;4046
60004;none;all;1;0;0.0;7157
1251;none;none;1;2;0.0;69
15393;all;all;1;2;0.0;1727
23005;all;all;1;2;0.0;2638
50599;all;all;1;2;0.0;5945
56033;all;all;1;2;0.0;6758
1269;all;all;1;2;0.0;69
8075;all;all;1;2;0.0;930
17654;all;all;1;2;0.0;2110
20363;none;all;1;2;0.0;2399
22142;all;all;1;2;0.0;2589
33378;all;all;1;2;0.0;4076
36093;all;all;1;2;0.0;4301
36416;all;all;1;2;0.0;4303
40544;all;all;1;2;0.0;4847
41927;all;none;1;2;0.0;5068
55668;all;none;1;2;0.0;6756
59451;all;all;1;2;0.0;7115
59784;none;all;1;2;0.0;7119
61273;all;all;1;2;0.0;7516
61517;none;all;1;2;0.0;7557
1289;all;all;1;4;0.0;70
19935;all;all;1;4;0.0;2397
33069;all;all;1;4;0.0;3919
1316;all;all;1;2;0.0;70
6291;all;all;1;2;0.0;743
30692;all;all;1;2;0.0;3500
48199;all;all;1;2;0.0;5636
48604;all;all;1;2;0.0;5638
55427;all;all;1;2;0.0;6755
62133;none;none;1;2;0.0;7677
1355;all;all;1;0;0.0;70
1959;all;all;1;0;0.0;143
6697;all;all;1;0;0.0;766
13293;all;none;1;0;0.0;1559
21830;all;all;1;0;0.0;2565
27457;all;all;1;0;0.0;3213
35888;all;all;1;0;0.0;4300
36074;all;all;1;0;0.0;4301
36238;all;none;1;0;0.0;4302
47936;all;all;1;0;0.0;5626
48248;all;all;1;0;0.0;5636
48729;all;none;1;0;0.0;5639
1361;all;all;1;1;0.0;70
1801;all;all;1;1;0.0;117
6065;all;all;1;1;0.0;742
15356;all;all;1;1;0.0;1727
26049;none;all;1;1;0.0;3070
32773;all;all;1;1;0.0;3852
36957;all;all;1;1;0.0;4333
41296;all;all;1;1;0.0;4975
46235;all;all;1;1;0.0;5519
58516;all;all;1;1;0.0;7038
1363;all;all;1;4;0.0;70
19903;all;all;1;4;0.0;2397
23313;all;all;1;4;0.0;2734
26342;all;all;1;4;0.0;3117
39556;all;all;1;4;0.0;4591
1392;none;all;1;0;0.0;70
10656;none;all;1;0;0.0;1318
21797;all;all;1;0;0.0;2565
40159;all;all;1;0;0.0;4742
1407;all;all;1;2;0.0;70
17310;all;all;1;2;0.0;2038
41424;all;all;1;2;0.0;5005
1409;all;all;1;0;0.0;70
13258;all;all;1;0;0.0;1558
26431;all;all;1;0;0.0;3119
32958;all;all;1;0;0.0;3885
61523;all;all;1;0;0.0;7557
1439;all;all;1;2;0.0;71
4719;all;all;1;2;0.0;670
7755;all;all;1;2;0.0;909
8532;none;all;1;2;0.0;951
14365;all;all;1;2;0.0;1702
23087;all;none;1;2;0.0;2662
26729;all;all;1;2;0.0;3143
43909;all;all;1;2;0.0;5228
46967;all;all;1;2;0.0;5597
56771;all;all;1;2;0.0;6799
1452;all;all;1;0;0.0;71
7065;none;all;1;0;0.0;839
31986;all;all;1;0;0.0;3662
39340;none;all;1;0;0.0;4588
64031;all;all;1;0;0.0;7799
65023;all;none;1;0;0.0;7955
1502;all;all;1;1;0.0;71
27017;none;all;1;1;0.0;3165
27970;all;all;1;1;0.0;3309
34632;all;all;1;1;0.0;4239
42110;all;all;1;1;0.0;5071
55994;all;all;1;1;0.0;6758
1518;all;all;1;2;0.0;71
41435;all;all;1;2;0.0;5006
48057;all;all;1;2;0.0;5635
1586;none;all;1;4;0.0;78
44664;all;all;1;4;0.0;5309
54537;all;all;1;4;0.0;6736
63011;all;all;1;4;0.0;7775
1594;all;all;1;1;0.0;81
3367;all;all;1;1;0.0;395
5783;none;all;1;1;0.0;731
18515;all;all;1;1;0.0;2314
24608;all;none;1;1;0.0;2963
45132;all;all;1;1;0.0;5372
45165;all;all;1;1;0.0;5372
56967;all;all;1;1;0.0;6855
63170;all;all;1;1;0.0;7776
1597;all;all;1;3;0.0;81
1620;all;all;1;1;0.0;82
1635;all;all;1;3;0.0;82
1638;all;all;1;2;0.0;82
9347;none;all;1;2;0.0;1115
18992;none;all;1;2;0.0;2362
29113;all;all;1;2;0.0;3389
34199;all;all;1;2;0.0;4191
38932;all;all;1;2;0.0;4572
47796;all;all;1;2;0.0;5619
50406;all;all;1;2;0.0;5936
54484;all;all;1;2;0.0;6736
59254;none;all;1;2;0.0;7098
60556;all;all;1;2;0.0;7339
1666;all;all;1;1;0.0;83
21472;all;all;1;1;0.0;2553
23191;all;all;1;1;0.0;2699
1705;all;all;1;2;0.0;94
1733;all;all;1;2;0.0;95
6174;all;all;1;2;0.0;742
29623;all;all;1;2;0.0;3404
44427;all;all;1;2;0.0;5292
58555;all;all;1;2;0.0;7039
1734;all;all;1;2;0.0;95
10773;all;all;1;2;0.0;1341
38454;all;all;1;2;0.0;4526
56015;none;all;1;2;0.0;6758
1819;all;all;1;0;0.0;118
15874;all;all;1;0;0.0;1797
17953;all;all;1;0;0.0;2231
25685;none;all;1;0;0.0;3023
27668;all;none;1;0;0.0;3239
34763;all;all;1;0;0.0;4268
51634;all;all;1;0;0.0;6195
1828;all;all;1;1;0.0;119
15630;all;all;1;1;0.0;1750
22158;all;all;1;1;0.0;2589
26984;all;all;1;1;0.0;3165
67352;all;none;1;1;0.0;8275
1842;none;all;1;0;0.0;123
8501;all;all;1;0;0.0;947
33348;all;all;1;0;0.0;4062
35046;all;all;1;0;0.0;4284
50112;all;all;1;0;0.0;5895
1846;all;all;1;2;0.0;125
10444;all;all;1;2;0.0;1306
10872;all;all;1;2;0.0;1353
24019;all;all;1;2;0.0;2891
32146;all;all;1;2;0.0;3709
51580;all;all;1;2;0.0;6178
1872;all;all;1;3;0.0;130
18469;all;all;1;3;0.0;2313
1920;all;all;1;2;0.0;141
4137;all;all;1;2;0.0;618
23016;all;all;1;2;0.0;2639
43198;all;all;1;2;0.0;5135
1927;all;all;1;0;0.0;141
36441;all;all;1;0;0.0;4303
1950;all;all;1;0;0.0;142
17936;all;all;1;0;0.0;2230
37054;all;all;1;0;0.0;4335
1963;all;all;1;0;0.0;143
3425;all;all;1;0;0.0;406
23610;none;all;1;0;0.0;2830
37455;all;all;1;0;0.0;4428
56812;all;all;1;0;0.0;6799
1966;all;all;1;1;0.0;143
14296;all;all;1;1;0.0;1701
53669;all;all;1;1;0.0;6638
1980;none;all;1;3;0.0;148
5293;all;all;1;3;0.0;729
53946;none;all;1;3;0.0;6696
2000;none;all;1;1;0.0;153
39112;none;all;1;1;0.0;4574
42566;all;all;1;1;0.0;5117
64998;none;all;1;1;0.0;7939
2044;none;all;1;1;0.0;155
5303;all;all;1;1;0.0;729
43807;all;all;1;1;0.0;5208
2095;none;all;1;1;0.0;166
2944;none;all;1;1;0.0;309
7764;all;all;1;1;0.0;909
8954;all;all;1;1;0.0;982
12828;all;all;1;1;0.0;1510
37164;none;all;1;1;0.0;4358
37778;all;all;1;1;0.0;4495
39361;all;all;1;1;0.0;4589
55295;all;all;1;1;0.0;6748
63796;all;all;1;1;0.0;7796
2103;all;all;1;2;0.0;166
9210;all;all;1;2;0.0;1077
11356;all;all;1;2;0.0;1365
28630;all;all;1;2;0.0;3373
30676;none;all;1;2;0.0;3500
46110;all;all;1;2;0.0;5516
2129;all;all;1;2;0.0;167
16984;all;all;1;2;0.0;1965
23436;none;all;1;2;0.0;2781
31863;all;all;1;2;0.0;3660
37487;all;all;1;2;0.0;4430
56927;all;all;1;2;0.0;6837
2132;all;all;1;2;0.0;167
6090;all;all;1;2;0.0;742
10603;all;all;1;2;0.0;1318
17467;all;all;1;2;0.0;2062
33474;all;all;1;2;0.0;4108
33904;none;all;1;2;0.0;4172
54128;all;all;1;2;0.0;6719
2158;none;none;1;4;0.0;177
4302;all;all;1;4;0.0;635
5448;all;all;1;4;0.0;730
16930;all;all;1;4;0.0;1953
19632;all;all;1;4;0.0;2387
22365;all;all;1;4;0.0;2602
22396;none;all;1;4;0.0;2602
28516;all;all;1;4;0.0;3359
29295;all;all;1;4;0.0;3390
37592;none;all;1;4;0.0;4447
38038;all;all;1;4;0.0;4510
40366;all;all;1;4;0.0;4797
46683;all;all;1;4;0.0;5578
47270;all;all;1;4;0.0;5615
47502;none;all;1;4;0.0;5617
47833;none;all;1;4;0.0;5619
54472;all;all;1;4;0.0;6736
61092;all;all;1;4;0.0;7489
61653;none;none;1;4;0.0;7578
66919;all;all;1;4;0.0;8175
2167;all;all;1;5;0.0;178
28087;none;all;1;5;0.0;3319
45060;all;all;1;5;0.0;5343
54873;all;all;1;5;0.0;6738
63013;all;all;1;5;0.0;7775
2236;all;all;1;3;0.0;196
2240;all;all;1;0;0.0;197
10366;all;all;1;0;0.0;1305
15958;all;all;1;0;0.0;1809
16422;all;all;1;0;0.0;1882
41839;none;all;1;0;0.0;5055
49845;all;all;1;0;0.0;5846
51950;none;all;1;0;0.0;6259
58661;all;all;1;0;0.0;7056
2257;all;all;1;0;0.0;201
4382;none;all;1;0;0.0;651
40139;all;all;1;0;0.0;4735
2262;all;all;1;2;0.0;201
3082;all;all;1;2;0.0;346
6586;all;all;1;2;0.0;755
8263;all;all;1;2;0.0;945
8295;all;all;1;2;0.0;945
9770;all;all;1;2;0.0;1209
10499;all;all;1;2;0.0;1307
11956;none;all;1;2;0.0;1422
13639;all;all;1;2;0.0;1642
15699;all;all;1;2;0.0;1761
19192;all;all;1;2;0.0;2385
22472;all;all;1;2;0.0;2603
28278;all;all;1;2;0.0;3356
38597;all;all;1;2;0.0;4540
40276;none;all;1;2;0.0;4766
40946;none;all;1;2;0.0;4925
47378;none;all;1;2;0.0;5616
52638;none;all;1;2;0.0;6537
57565;all;all;1;2;0.0;6976
61846;all;all;1;2;0.0;7618
65138;all;all;1;2;0.0;7966
2266;all;all;1;2;0.0;201
10902;all;all;1;2;0.0;1353
15708;all;none;1;2;0.0;1762
27771;all;all;1;2;0.0;3274
32371;all;all;1;2;0.0;3773
48859;all;all;1;2;0.0;5658
2280;none;all;1;0;0.0;202
5642;all;all;1;0;0.0;731
7509;all;none;1;0;0.0;898
11950;none;none;1;0;0.0;1419
19629;all;all;1;0;0.0;2386
22476;all;all;1;0;0.0;2603
24482;all;all;1;0;0.0;2962
26545;none;all;1;0;0.0;3130
53781;none;all;1;0;0.0;6656
57440;all;all;1;0;0.0;6939
63199;none;all;1;0;0.0;7776
2293;all;all;1;3;0.0;202
2332;none;all;1;4;0.0;209
29624;all;all;1;4;0.0;3404
31999;none;all;1;4;0.0;3663
48386;all;all;1;4;0.0;5637
2358;all;all;1;1;0.0;213
5876;none;all;1;1;0.0;741
22821;all;none;1;1;0.0;2615
32420;all;all;1;1;0.0;3788
36987;none;all;1;1;0.0;4334
39315;all;all;1;1;0.0;4588
42975;all;all;1;1;0.0;5133
47985;all;all;1;1;0.0;5635
2444;none;all;1;1;0.0;225
2504;all;all;1;2;0.0;237
4321;all;all;1;2;0.0;645
6247;all;all;1;2;0.0;743
6631;none;all;1;2;0.0;765
19974;all;all;1;2;0.0;2397
21893;all;all;1;2;0.0;2566
38559;all;all;1;2;0.0;4527
52058;all;all;1;2;0.0;6316
55822;all;all;1;2;0.0;6757
2561;all;all;1;2;0.0;249
34659;all;all;1;2;0.0;4252
36725;all;all;1;2;0.0;4317
40344;all;all;1;2;0.0;4790
2583;all;all;1;2;0.0;249
12616;all;all;1;2;0.0;1497
13995;all;all;1;2;0.0;1683
49039;all;none;1;2;0.0;5695
50168;all;all;1;2;0.0;5897
53811;all;all;1;2;0.0;6658
64732;none;all;1;2;0.0;7898
2634;none;all;1;2;0.0;250
2678;all;all;1;2;0.0;251
26588;all;all;1;2;0.0;3131
60640;all;all;1;2;0.0;7375
2679;all;all;1;1;0.0;251
5483;all;all;1;1;0.0;730
