person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
14;14;0;False;male;0;False;False;9;12494
26760;26760;3;True;male;0;False;False;3147;12494
58;58;2;False;male;0;False;True;11;10272
39162;39162;9;False;male;0;False;True;4575;10272
63;63;2;False;male;0;False;True;11;16346
46537;46537;11;False;male;0;False;True;5576;16346
83;83;0;False;female;0;False;False;21;16647
20204;20204;4;False;female;0;False;True;2398;16647
58381;58381;12;False;female;0;False;False;7037;16647
155;155;2;True;male;0;False;True;29;38605
4051;4051;0;False;male;0;False;False;606;38605
14079;14079;3;False;male;0;False;False;1689;38605
30772;30772;8;True;male;0;False;True;3510;38605
35566;35566;9;False;male;0;False;False;4287;38605
40004;40004;7;False;male;0;False;False;4701;38605
47534;47534;12;False;male;0;False;False;5617;38605
50941;50941;10;False;male;0;False;False;6015;38605
213;213;0;False;male;0;False;True;33;6715
18621;18621;5;False;male;0;False;False;2315;6715
24003;24003;4;False;male;0;False;True;2890;6715
35416;35416;8;False;male;0;False;True;4286;6715
36787;36787;8;False;male;0;False;False;4318;6715
62419;62419;13;False;male;0;False;False;7698;6715
63399;63399;13;False;male;0;False;False;7778;6715
67228;67228;12;False;male;0;False;False;8257;6715
237;237;1;False;male;0;False;False;34;41005
4836;4836;1;False;male;0;False;False;682;41005
5572;5572;1;False;male;0;False;True;730;41005
29435;29435;9;False;male;0;False;True;3391;41005
51832;51832;14;False;male;0;False;False;6219;41005
58622;58622;14;True;male;0;False;True;7049;41005
59278;59278;14;False;male;0;False;False;7099;41005
250;250;1;False;male;0;False;True;34;23226
306;306;2;False;male;0;False;False;35;23226
17968;17968;3;False;male;0;False;False;2241;23226
34703;34703;7;False;male;0;False;True;4253;23226
301;301;2;False;male;0;False;True;35;13437
12138;12138;1;False;male;0;False;False;1450;13437
29176;29176;7;False;male;0;False;True;3389;13437
311;311;2;False;male;0;False;False;35;20745
3846;3846;2;True;male;0;False;True;557;20745
14077;14077;3;False;male;0;False;False;1689;20745
18546;18546;4;False;male;0;False;False;2314;20745
38169;38169;9;False;male;0;False;False;4511;20745
42749;42749;9;False;male;0;False;False;5119;20745
47593;47593;12;False;male;0;False;True;5617;20745
49298;49298;14;False;male;0;False;True;5739;20745
52680;52680;14;False;male;0;False;True;6539;20745
63282;63282;12;False;male;0;False;False;7777;20745
65166;65166;10;False;male;0;False;False;7975;20745
343;343;2;False;male;0;False;False;35;15837
13876;13876;3;False;male;0;False;True;1665;15837
18096;18096;5;False;male;0;False;False;2267;15837
438;438;0;False;female;0;False;True;45;40953
492;492;1;False;female;0;False;False;46;23450
7716;7716;0;False;female;0;False;False;909;23450
10612;10612;1;False;female;0;False;False;1318;23450
11422;11422;1;False;female;0;False;True;1366;23450
12888;12888;2;False;female;0;False;False;1511;23450
22669;22669;4;False;female;0;False;True;2614;23450
22705;22705;4;False;female;0;False;True;2614;23450
25864;25864;4;False;female;0;False;True;3046;23450
28624;28624;6;False;female;0;False;True;3372;23450
29602;29602;6;False;female;0;False;False;3404;23450
35977;35977;6;False;female;0;False;True;4300;23450
36182;36182;7;False;female;0;False;False;4301;23450
37774;37774;9;False;female;0;False;True;4495;23450
55370;55370;10;False;female;0;False;False;6755;23450
55740;55740;12;False;female;0;False;False;6757;23450
61481;61481;10;False;female;0;False;False;7555;23450
494;494;1;False;female;0;False;False;46;1930
15011;15011;5;True;female;0;False;True;1721;1930
36423;36423;9;False;female;0;False;True;4303;1930
58355;58355;11;False;female;0;False;False;7036;1930
60489;60489;14;False;female;0;False;True;7319;1930
510;510;1;False;female;0;False;False;46;35534
1417;1417;1;False;female;0;False;False;70;35534
10166;10166;0;False;female;0;False;False;1269;35534
11595;11595;2;False;female;0;False;False;1367;35534
27075;27075;5;False;female;0;False;False;3167;35534
46961;46961;12;False;female;0;False;True;5597;35534
50077;50077;14;False;female;0;False;False;5879;35534
51626;51626;10;False;female;0;False;True;6195;35534
548;548;2;False;female;0;False;True;47;26973
7878;7878;2;False;female;0;False;False;911;26973
50756;50756;12;False;female;0;False;False;5957;26973
579;579;2;False;female;0;False;False;47;4121
1960;1960;2;False;female;0;False;False;143;4121
619;619;2;True;male;0;False;False;53;18945
7477;7477;1;False;male;0;False;True;898;18945
17124;17124;3;False;male;0;False;True;2001;18945
25985;25985;5;False;male;0;False;False;3059;18945
29170;29170;7;False;male;0;False;False;3389;18945
30438;30438;6;False;male;0;False;True;3452;18945
30859;30859;8;False;male;0;False;False;3518;18945
32400;32400;9;False;male;0;False;False;3775;18945
37159;37159;9;False;male;0;False;True;4351;18945
40749;40749;8;False;male;0;False;True;4894;18945
44026;44026;6;False;male;0;False;True;5244;18945
46705;46705;13;False;male;0;False;False;5578;18945
47255;47255;10;False;male;0;False;True;5615;18945
50405;50405;10;False;male;0;False;True;5935;18945
60384;60384;14;False;male;0;False;True;7299;18945
61105;61105;10;False;male;0;False;True;7495;18945
63297;63297;12;False;male;0;False;False;7777;18945
63540;63540;14;False;male;0;False;False;7779;18945
