person_id;trip_index;preceding_activity_index;following_activity_index;departure_time;arrival_time;preceding_purpose;following_purpose;is_first;is_last
14;0;0;1;29489.0;30989.0;home;education;True;False
14;1;1;2;42569.0;42989.0;education;home;False;False
14;2;2;3;46889.0;47249.0;home;education;False;False
14;3;3;4;58589.0;59489.0;education;home;False;True
58;0;0;1;25640.0;29240.0;home;education;True;False
58;1;1;2;61640.0;65240.0;education;home;False;True
63;0;0;1;28876.0;29776.0;home;education;True;False
63;1;1;2;54076.0;55096.0;education;home;False;True
83;0;0;1;30427.0;30727.0;home;education;True;False
83;1;1;2;44227.0;44827.0;education;home;False;False
83;2;2;3;50827.0;51127.0;home;education;False;False
83;3;3;4;61027.0;61327.0;education;home;False;True
155;0;0;1;40608.0;41808.0;home;other;True;False
155;1;1;2;44208.0;44268.0;other;leisure;False;False
155;2;2;3;55908.0;56808.0;leisure;home;False;True
213;0;0;1;30981.0;31281.0;home;education;True;False
213;1;1;2;42381.0;42681.0;education;home;False;False
213;2;2;3;47181.0;47481.0;home;education;False;False
213;3;3;4;58581.0;58881.0;education;home;False;True
237;0;0;1;47795.0;48755.0;home;education;True;False
237;1;1;2;60695.0;62495.0;education;home;False;True
250;0;0;1;28987.0;29287.0;home;education;True;False
250;1;1;2;42787.0;43087.0;education;home;False;False
250;2;2;3;48787.0;49387.0;home;education;False;False
250;3;3;4;58687.0;59287.0;education;home;False;False
250;4;4;5;63487.0;63787.0;home;leisure;False;False
250;5;5;6;67987.0;68287.0;leisure;home;False;True
301;0;0;1;29549.0;30149.0;home;education;True;False
301;1;1;2;62849.0;63749.0;education;home;False;True
306;0;0;1;29253.0;29553.0;home;education;True;False
306;1;1;2;43053.0;43353.0;education;home;False;False
306;2;2;3;49053.0;49653.0;home;education;False;False
306;3;3;4;58953.0;59553.0;education;home;False;False
306;4;4;5;63753.0;64053.0;home;leisure;False;False
306;5;5;6;68253.0;68553.0;leisure;home;False;True
311;0;0;1;25648.0;27508.0;home;education;True;False
311;1;1;2;59788.0;61588.0;education;home;False;True
438;0;0;1;28804.0;30004.0;home;education;True;False
438;1;1;2;41404.0;42004.0;education;home;False;False
438;2;2;3;46204.0;46804.0;home;education;False;False
438;3;3;4;58804.0;59704.0;education;home;False;True
492;0;0;1;30360.0;30660.0;home;education;True;False
492;1;1;2;43260.0;44460.0;education;home;False;False
492;2;2;3;49860.0;50460.0;home;education;False;False
492;3;3;4;58560.0;59160.0;education;home;False;False
492;4;4;5;65460.0;65520.0;home;leisure;False;False
492;5;5;6;69060.0;69120.0;leisure;home;False;True
494;0;0;1;58366.0;60166.0;home;shop;True;False
494;1;1;2;65566.0;67366.0;shop;leisure;False;False
494;2;2;3;76366.0;77266.0;leisure;home;False;True
510;0;0;1;26533.0;27433.0;home;education;True;False
510;1;1;2;29233.0;35533.0;education;leisure;False;False
510;2;2;3;58933.0;66433.0;leisure;education;False;False
510;3;3;4;67933.0;68833.0;education;home;False;True
548;0;0;1;54220.0;54940.0;home;leisure;True;False
548;1;1;2;60820.0;61540.0;leisure;home;False;True
579;0;0;1;40811.0;41111.0;home;education;True;False
579;1;1;2;50411.0;50711.0;education;home;False;False
579;2;2;3;64811.0;67511.0;home;leisure;False;True
619;0;0;1;57650.0;57770.0;home;leisure;True;False
619;1;1;2;66650.0;66770.0;leisure;home;False;True
655;0;0;1;29062.0;30502.0;home;education;True;False
655;1;1;2;62242.0;64582.0;education;home;False;True
674;0;0;1;53578.0;53878.0;leisure;leisure;True;False
674;1;1;2;64378.0;64678.0;leisure;home;False;True
675;0;0;1;31614.0;31854.0;home;education;True;False
675;1;1;2;42714.0;43494.0;education;home;False;False
675;2;2;3;45234.0;45414.0;home;other;False;False
675;3;3;4;47934.0;48114.0;other;home;False;False
675;4;4;5;49554.0;49794.0;home;education;False;False
675;5;5;6;61074.0;61254.0;education;home;False;True
684;0;0;1;28615.0;29815.0;home;education;True;False
684;1;1;2;65215.0;66115.0;education;home;False;True
758;0;0;1;35671.0;37771.0;home;leisure;True;False
758;1;1;2;38071.0;38971.0;leisure;home;False;False
758;2;2;3;41371.0;41671.0;home;other;False;False
758;3;3;4;41971.0;42571.0;other;home;False;False
758;4;4;5;47071.0;47671.0;home;leisure;False;False
758;5;5;6;56671.0;57871.0;leisure;other;False;False
758;6;6;7;58771.0;59671.0;other;home;False;True
829;0;0;1;29228.0;29828.0;home;education;True;False
829;1;1;2;58928.0;59528.0;education;home;False;False
829;2;2;3;63128.0;63728.0;home;other;False;False
829;3;3;4;64028.0;64328.0;other;other;False;False
829;4;4;5;64628.0;65228.0;other;home;False;True
919;0;0;1;30359.0;30659.0;home;education;True;False
919;1;1;2;61859.0;63059.0;education;home;False;True
920;0;0;1;36545.0;36845.0;home;leisure;True;False
