owner_id;mode;vehicle_id;type_id;critair;technology;age;euro
14;car;14:car;default_car;Crit'air 1;Gazole;0;6
26760;car;26760:car;default_car;Crit'air 1;Gazole;0;6
58;car;58:car;default_car;Crit'air 1;Gazole;0;6
39162;car;39162:car;default_car;Crit'air 1;Gazole;0;6
63;car;63:car;default_car;Crit'air 1;Gazole;0;6
46537;car;46537:car;default_car;Crit'air 1;Gazole;0;6
83;car;83:car;default_car;Crit'air 1;Gazole;0;6
20204;car;20204:car;default_car;Crit'air 1;Gazole;0;6
58381;car;58381:car;default_car;Crit'air 1;Gazole;0;6
155;car;155:car;default_car;Crit'air 1;Gazole;0;6
4051;car;4051:car;default_car;Crit'air 1;Gazole;0;6
14079;car;14079:car;default_car;Crit'air 1;Gazole;0;6
30772;car;30772:car;default_car;Crit'air 1;Gazole;0;6
35566;car;35566:car;default_car;Crit'air 1;Gazole;0;6
40004;car;40004:car;default_car;Crit'air 1;Gazole;0;6
47534;car;47534:car;default_car;Crit'air 1;Gazole;0;6
50941;car;50941:car;default_car;Crit'air 1;Gazole;0;6
213;car;213:car;default_car;Crit'air 1;Gazole;0;6
18621;car;18621:car;default_car;Crit'air 1;Gazole;0;6
24003;car;24003:car;default_car;Crit'air 1;Gazole;0;6
35416;car;35416:car;default_car;Crit'air 1;Gazole;0;6
36787;car;36787:car;default_car;Crit'air 1;Gazole;0;6
62419;car;62419:car;default_car;Crit'air 1;Gazole;0;6
63399;car;63399:car;default_car;Crit'air 1;Gazole;0;6
67228;car;67228:car;default_car;Crit'air 1;Gazole;0;6
237;car;237:car;default_car;Crit'air 1;Gazole;0;6
4836;car;4836:car;default_car;Crit'air 1;Gazole;0;6
5572;car;5572:car;default_car;Crit'air 1;Gazole;0;6
29435;car;29435:car;default_car;Crit'air 1;Gazole;0;6
51832;car;51832:car;default_car;Crit'air 1;Gazole;0;6
58622;car;58622:car;default_car;Crit'air 1;Gazole;0;6
59278;car;59278:car;default_car;Crit'air 1;Gazole;0;6
250;car;250:car;default_car;Crit'air 1;Gazole;0;6
306;car;306:car;default_car;Crit'air 1;Gazole;0;6
17968;car;17968:car;default_car;Crit'air 1;Gazole;0;6
34703;car;34703:car;default_car;Crit'air 1;Gazole;0;6
301;car;301:car;default_car;Crit'air 1;Gazole;0;6
12138;car;12138:car;default_car;Crit'air 1;Gazole;0;6
29176;car;29176:car;default_car;Crit'air 1;Gazole;0;6
311;car;311:car;default_car;Crit'air 1;Gazole;0;6
3846;car;3846:car;default_car;Crit'air 1;Gazole;0;6
14077;car;14077:car;default_car;Crit'air 1;Gazole;0;6
18546;car;18546:car;default_car;Crit'air 1;Gazole;0;6
38169;car;38169:car;default_car;Crit'air 1;Gazole;0;6
42749;car;42749:car;default_car;Crit'air 1;Gazole;0;6
47593;car;47593:car;default_car;Crit'air 1;Gazole;0;6
49298;car;49298:car;default_car;Crit'air 1;Gazole;0;6
52680;car;52680:car;default_car;Crit'air 1;Gazole;0;6
63282;car;63282:car;default_car;Crit'air 1;Gazole;0;6
65166;car;65166:car;default_car;Crit'air 1;Gazole;0;6
343;car;343:car;default_car;Crit'air 1;Gazole;0;6
13876;car;13876:car;default_car;Crit'air 1;Gazole;0;6
18096;car;18096:car;default_car;Crit'air 1;Gazole;0;6
438;car;438:car;default_car;Crit'air 1;Gazole;0;6
492;car;492:car;default_car;Crit'air 1;Gazole;0;6
7716;car;7716:car;default_car;Crit'air 1;Gazole;0;6
10612;car;10612:car;default_car;Crit'air 1;Gazole;0;6
11422;car;11422:car;default_car;Crit'air 1;Gazole;0;6
12888;car;12888:car;default_car;Crit'air 1;Gazole;0;6
22669;car;22669:car;default_car;Crit'air 1;Gazole;0;6
22705;car;22705:car;default_car;Crit'air 1;Gazole;0;6
25864;car;25864:car;default_car;Crit'air 1;Gazole;0;6
28624;car;28624:car;default_car;Crit'air 1;Gazole;0;6
29602;car;29602:car;default_car;Crit'air 1;Gazole;0;6
35977;car;35977:car;default_car;Crit'air 1;Gazole;0;6
36182;car;36182:car;default_car;Crit'air 1;Gazole;0;6
37774;car;37774:car;default_car;Crit'air 1;Gazole;0;6
55370;car;55370:car;default_car;Crit'air 1;Gazole;0;6
55740;car;55740:car;default_car;Crit'air 1;Gazole;0;6
61481;car;61481:car;default_car;Crit'air 1;Gazole;0;6
494;car;494:car;default_car;Crit'air 1;Gazole;0;6
15011;car;15011:car;default_car;Crit'air 1;Gazole;0;6
36423;car;36423:car;default_car;Crit'air 1;Gazole;0;6
58355;car;58355:car;default_car;Crit'air 1;Gazole;0;6
60489;car;60489:car;default_car;Crit'air 1;Gazole;0;6
510;car;510:car;default_car;Crit'air 1;Gazole;0;6
1417;car;1417:car;default_car;Crit'air 1;Gazole;0;6
10166;car;10166:car;default_car;Crit'air 1;Gazole;0;6
11595;car;11595:car;default_car;Crit'air 1;Gazole;0;6
27075;car;27075:car;default_car;Crit'air 1;Gazole;0;6
46961;car;46961:car;default_car;Crit'air 1;Gazole;0;6
50077;car;50077:car;default_car;Crit'air 1;Gazole;0;6
51626;car;51626:car;default_car;Crit'air 1;Gazole;0;6
548;car;548:car;default_car;Crit'air 1;Gazole;0;6
7878;car;7878:car;default_car;Crit'air 1;Gazole;0;6
50756;car;50756:car;default_car;Crit'air 1;Gazole;0;6
579;car;579:car;default_car;Crit'air 1;Gazole;0;6
1960;car;1960:car;default_car;Crit'air 1;Gazole;0;6
619;car;619:car;default_car;Crit'air 1;Gazole;0;6
7477;car;7477:car;default_car;Crit'air 1;Gazole;0;6
17124;car;17124:car;default_car;Crit'air 1;Gazole;0;6
25985;car;25985:car;default_car;Crit'air 1;Gazole;0;6
29170;car;29170:car;default_car;Crit'air 1;Gazole;0;6
30438;car;30438:car;default_car;Crit'air 1;Gazole;0;6
30859;car;30859:car;default_car;Crit'air 1;Gazole;0;6
32400;car;32400:car;default_car;Crit'air 1;Gazole;0;6
37159;car;37159:car;default_car;Crit'air 1;Gazole;0;6
40749;car;40749:car;default_car;Crit'air 1;Gazole;0;6
44026;car;44026:car;default_car;Crit'air 1;Gazole;0;6
46705;car;46705:car;default_car;Crit'air 1;Gazole;0;6
47255;car;47255:car;default_car;Crit'air 1;Gazole;0;6
50405;car;50405:car;default_car;Crit'air 1;Gazole;0;6
60384;car;60384:car;default_car;Crit'air 1;Gazole;0;6
61105;car;61105:car;default_car;Crit'air 1;Gazole;0;6
63297;car;63297:car;default_car;Crit'air 1;Gazole;0;6
63540;car;63540:car;default_car;Crit'air 1;Gazole;0;6
655;car;655:car;default_car;Crit'air 1;Gazole;0;6
24495;car;24495:car;default_car;Crit'air 1;Gazole;0;6
674;car;674:car;default_car;Crit'air 1;Gazole;0;6
4964;car;4964:car;default_car;Crit'air 1;Gazole;0;6
675;car;675:car;default_car;Crit'air 1;Gazole;0;6
684;car;684:car;default_car;Crit'air 1;Gazole;0;6
14724;car;14724:car;default_car;Crit'air 1;Gazole;0;6
20671;car;20671:car;default_car;Crit'air 1;Gazole;0;6
24528;car;24528:car;default_car;Crit'air 1;Gazole;0;6
30244;car;30244:car;default_car;Crit'air 1;Gazole;0;6
32383;car;32383:car;default_car;Crit'air 1;Gazole;0;6
34111;car;34111:car;default_car;Crit'air 1;Gazole;0;6
52696;car;52696:car;default_car;Crit'air 1;Gazole;0;6
54011;car;54011:car;default_car;Crit'air 1;Gazole;0;6
57775;car;57775:car;default_car;Crit'air 1;Gazole;0;6
61680;car;61680:car;default_car;Crit'air 1;Gazole;0;6
705;car;705:car;default_car;Crit'air 1;Gazole;0;6
13569;car;13569:car;default_car;Crit'air 1;Gazole;0;6
18271;car;18271:car;default_car;Crit'air 1;Gazole;0;6
18410;car;18410:car;default_car;Crit'air 1;Gazole;0;6
35350;car;35350:car;default_car;Crit'air 1;Gazole;0;6
44723;car;44723:car;default_car;Crit'air 1;Gazole;0;6
46321;car;46321:car;default_car;Crit'air 1;Gazole;0;6
54248;car;54248:car;default_car;Crit'air 1;Gazole;0;6
758;car;758:car;default_car;Crit'air 1;Gazole;0;6
3799;car;3799:car;default_car;Crit'air 1;Gazole;0;6
16098;car;16098:car;default_car;Crit'air 1;Gazole;0;6
16190;car;16190:car;default_car;Crit'air 1;Gazole;0;6
22301;car;22301:car;default_car;Crit'air 1;Gazole;0;6
63538;car;63538:car;default_car;Crit'air 1;Gazole;0;6
829;car;829:car;default_car;Crit'air 1;Gazole;0;6
53814;car;53814:car;default_car;Crit'air 1;Gazole;0;6
58997;car;58997:car;default_car;Crit'air 1;Gazole;0;6
62357;car;62357:car;default_car;Crit'air 1;Gazole;0;6
65228;car;65228:car;default_car;Crit'air 1;Gazole;0;6
919;car;919:car;default_car;Crit'air 1;Gazole;0;6
47870;car;47870:car;default_car;Crit'air 1;Gazole;0;6
920;car;920:car;default_car;Crit'air 1;Gazole;0;6
8217;car;8217:car;default_car;Crit'air 1;Gazole;0;6
12003;car;12003:car;default_car;Crit'air 1;Gazole;0;6
22451;car;22451:car;default_car;Crit'air 1;Gazole;0;6
23564;car;23564:car;default_car;Crit'air 1;Gazole;0;6
29249;car;29249:car;default_car;Crit'air 1;Gazole;0;6
30650;car;30650:car;default_car;Crit'air 1;Gazole;0;6
38972;car;38972:car;default_car;Crit'air 1;Gazole;0;6
58736;car;58736:car;default_car;Crit'air 1;Gazole;0;6
60991;car;60991:car;default_car;Crit'air 1;Gazole;0;6
948;car;948:car;default_car;Crit'air 1;Gazole;0;6
4934;car;4934:car;default_car;Crit'air 1;Gazole;0;6
9620;car;9620:car;default_car;Crit'air 1;Gazole;0;6
11976;car;11976:car;default_car;Crit'air 1;Gazole;0;6
15798;car;15798:car;default_car;Crit'air 1;Gazole;0;6
26457;car;26457:car;default_car;Crit'air 1;Gazole;0;6
37531;car;37531:car;default_car;Crit'air 1;Gazole;0;6
